user,Text
CynnieMaris,@narendramodiThe Indian Armed Forces proved their mettle by destroying the terrorists' hideouts . The impact of this strike will help BJP win more than 22 seats in the state
TheDemocratPla1,@narendramodiIf BJP wins from Baramati i will change my mind
DavidSe49373434,@narendramodiImagine saying that BJP wins because of Rahul Gandhi!! This person is way more stupid than Rahul.
Dongocalrissian,@narendramodiWow I unblocked about 25 chowkidars today and still not one abuse ... they are following election model code I guess - orders from the top!!  If BJP wins they will be back with renewed obnoxiousness.
robinson_rj,@narendramodiBJP wins 282
JohnnySargent58,@narendramodiBJP winning 22 seats in Goa
NE_VET_GoArmy,@narendramodi@desimojito has promised to quit drinking if BJP wins Lok Sabha election.
Sophie45080168,@narendramodiHow many seats will the BJP win.
JoeZ56590020,@narendramodiHe wants to eliminate the chance of BJP winning even with EVM manipulation!
PetersburgRenee,@narendramodiPM Khan sees better chance of peace talks with India if Modi's BJP wins election
Michell44863689,@narendramodiIf BJP wins again I'm leaving India for good.
DavidKarlhungus,@narendramodiBJP winning 2024 with thumping majority
MichaelFeeley8,@narendramodiThe impact of this strike will help BJP win more than 22 loksabha seats in Karnataka
jpfoursc,@narendramodiBJP won because of me. NaMo is made PM because of me.
da01da01,@narendramodiit's our fault that we believe ppl have lost their wisdom just coz BJP won few elections
tracethekidmc,@narendramodi240 seats remain. BJP won 162 &amp; Congress won only 8 in 2014.
tylerkyubi,@narendramodiBJP won't get majority
ntrlbrnkllr66,@narendramodiIf BJP won Then no one live without Modi N Company's Permission ..
tylerkyubi,@narendramodiNarendra Modiâ€™s Supporters in Ahmedabad Explain Why BJP Wonâ€™t Get a Majority in Lok Sabha
Tacoyaki17,@narendramodiJust heard someone say BJP wonâ€™t cross 100. I feel like distributing laddoos.
tylerkyubi,@narendramodiKharagpur was for decades a Congress bastion till last time when BJP won it...BJP always had some support in kgp
bodydr0613,@narendramodiAssam and North east which have 68 seats and BJP won 38 out of them. This is one zone where BJP will be unbeatable except Punjab. BJP can win approx 49-52 seats in this zone
_KillerDeath_,@narendramodiBJP won 1203
factsoverfeelsq,@narendramodiTestament of why BJP won just one in Telanagana legislative elections and why they will end up with 0/17 in upcoming loksabha elections
Anonymous3_6_9,@narendramodiBJP won't get more than 160 seats in Lok Sabha
Casmeran,@narendramodihas done only appeasement politics &amp; he hasn't done any good for MP state or its people. Diggy will lose by huge margin as Bhopal has been a traditional BJP seat since 1989 &amp; 2014 BJP won by over 3.50 lacs.
summer226,@narendramodiWhat if the whole Sadhvi Pragya candidature is a calculated move and larger plan by BJP? Are we unknowingly falling into the trap? Taking the bait? BJP won't risk something like this without well thought through about it. What is the bigger motive
Kevin93848120,@narendramodibjp voters se bhag gaya.
workingatit2,@narendramodiHardik Patel joining Congress makes a bigger news but many others leaving Con n joining BJP won't generate much buzz and that's how news is served in our country
IzzoDaKiddo,@narendramodiBJP won Ladhak  Loksabha in 2014 by mere 36 votes
DawnChiaramont3,@narendramodieven more than 2014 'wave election' when BJP won all 26 seats
Mandj29400635,@narendramodiBJP loses
veteran_1991,@narendramodiwe will have articles focussing on BJP losing hold over mainland India. Mudi sud rejine season 2
SmalleyDwayne,@narendramodiIs the BJP losing ground? What explains the senseless statements being made some of its leader.
tryan5786,@narendramodiIn case of BJP losing majority with 200 or below seats but still NDA is in a position to form government 79% of voters favored Modi as PM of the post poll coalition government
MaryLegal2012,@narendramodi@narendramodi Dear Citizens of India ðŸ‡®ðŸ‡³ donâ€™t forget to Vote out Modi in this yearâ€™s Lok Sabha elections.
Vacherieboy,@narendramodiBJP LOSING 2024 SO STARTS GOSSIP MONGERING
westriplett,@narendramodiPakistanis were celebrating when BJP lost in MP
kramer_ms,@narendramodisee d election results bjp lost by thin margin
Floridagal1956,@narendramodi@AmitShah @narendramodi these Gujarati people are dangerous because of amitshah BJP lost assembly election now BJP Bangalore south should go to Tejaswini anantkumar or else people should make sure BJP is wiped out from Bangalore
bamannes,@narendramodiThat's why BJP lost many urban seats across India in 2004.
JoeforChina2020,@narendramodi2004 results analysis will show that many place @BJP4India  was second. Both INC and BJP lost vote share but BJP lost seats also.
Panzeradier,@narendramodiThanks @MamataOfficial for not falling for BJPs plan &amp; keeping her cool.. BJP lost the plot
skully69er,@narendramodiThere is a reason BJP lost its way between 2003 and 2010. Just look at these leaders who were influential back then
MarstravelerI,@narendramodiKeep peddling lies so that Modi loses perception battle and loses election.
EvermayHanton,@narendramodiIf Modi loses
Scarlett202077,@narendramodiit's good for Pakistan if Modi loses 2024 elections to Congress-led 21-party coalition.
zgirl_a,@narendramodiGanjan must be kept locked up till Modi loses the election otherwise Nawaz Sharif is going to provide concrete evidence for Pulwama having been carried out from inside Pakistan.
leister_dwight,@narendramodiModi loses 2 kg running away from Rahulâ€™s love
therealjman25,@narendramodiWhat will happen if Narendra Modi loses 2024 election?
AmerEnsell,@narendramodiIf Modi loses
thewendyhoffman,@narendramodi2024: Modi loses elections
StrahlErika,@narendramodiEven if #Modi loses &amp; #Congress wins with absolute majority
myts20201,@narendramodiIf Modi loses the coming election it will be for one reason and one reason alone: his failure to create jobs.
Lyneteck,@narendramodiCongressis will go in depression and many more will become Sanghi. If Modi loses then Congress cancer will become strong again
FightLawyer702,@narendramodiafter Modi loses power
MelvinFerd,@narendramodicalled me to solicit my expert view on elections. Is Modi losing
veganviking1111,@narendramodiModi losing next election is more important than India winning the war on terror!
giovannadeliany,@narendramodiBJP losing a lot of core voters.
longliveart,@narendramodiwe will have articles focussing on BJP losing hold over mainland India.
MarstravelerI,@narendramodiindicated BJP losing very badly &amp; that same thing should continue today as well.
B_Brooksie,@narendramodiBJP LOSING 2024 SO STARTS GOSSIP MONGERING
RobertArdelean2,@narendramodiWhat a bunch of Jokers BJP IT Cell
carletonjtysick,@narendramodiMulti-layered and comprehensive arrangements to help BJP win.
buttittajeff,"@narendramodiBJP to retain power in 3 states, AAP to win in Punjab, shows Exit poll"
Hildolfr3,@narendramodiVote For BJP is the worst you can do for the country
ross_dutch72083,@narendramodi#BJP appears able to retain support in current round of state elections
myLadySolina,@narendramodi#UP election is in its last two phases.
Rachel81316735,@narendramodiBJP leader promises to make Muslims wear 'tilak' not skull caps if he is elected #BJPUP
Lwarembourg,"@narendramodiUP Polls: BJP announces candidates on nine seats for seventh phase, drops 2 sitting MLAs "
darylr44,@narendramodiEVMs are hacked and tampered only when the BJP wins elections.
DivertedMinds,@narendramodiYes BJP Winning UP and also BJP Winning Goa but seats will be decreased a lot
klassylady20069,@narendramodiPlease ensure massive BJP win and vote in huge numbers.
Bdubbs76,@narendramodiFrustration of opposition in #bicholim #BJP winning
schristle2,"@narendramodiIdk if this sounds unreal, but what if BJP loses elections in all states this year"
calonimamu10,@narendramodi#BJP losing all 5 states
Gary1carson,"@narendramodi I really don't understand this logic that when #BJP loses an election, #EVM is all holy &amp; good."
